Player,KilledBy,Weapon,Distance,Storm Phase,Timestamp,Match,Placed,Kills
Vinny1x,Tommo,Smg,,5,19:09,2,38,0
Jarl,Kinstaar,Rifle,,5,19:04,2,39,1
Lil Jay,Kinstaar,Rifle,60,5,19:00,2,40,1
Windwalker,Andeeza,Shotgun,,5,18:57,2,41,0
Stompy,Domentos,Shotgun,,5,18:53,2,42,0
Tuckz,Jarl,Shotgun,,5,18:52,2,43,1
Cloud,Nikof,Shotgun,,5,18:52,2,44,0
Magin,Zexrow,Rifle,,5,18:47,2,45,3
Skite,Funkbomb,Rifle,,5,18:20,2,46,0
Ryux,Kejser,Smg,,5,18:13,2,47,0
Sinooh,Razzzero0o,Shotgun,,5,17:59,2,48,0
Crazy Llama,Vato,Rifle,,5,17:58,2,49,0
Dmo,Blaxou,Shotgun,,5,17:56,2,50,0
Milan,Zeek,Shotgun,,5,17:49,2,51,1
Boyer,Milan,Shotgun,,4,17:17,2,52,4
Mitr0,Lil Jay,Splode,,4,17:05,2,53,1
Villex,Teeqzy,Shotgun,,4,16:53,2,54,2
Histtory,Boyer,Rifle,,4,16:29,2,55,1
Nate,Boyer,Rifle,58,4,16:19,2,56,0
Zyppaan,Histtory,Shotgun,,4,16:10,2,57,3
Eryc,Domentos,Rifle,,4,16:06,2,58,0
Povity,Zyppaan,Rifle,,4,16:01,2,59,0
Chap,Magin,Shotgun,,4,15:04,2,60,0
Madzen,Jamside,Shotgun,,3,14:32,2,61,0
x2Jesse,Zyppaan,Shotgun,,3,14:13,2,62,0
Viallinen,Hoopek,Shotgun,,3,13:41,2,63,0
Vivid,Ares,Rifle,,3,13:26,2,64,1
Saf,Tommo,Rifle,,3,12:26,2,65,0
Faah,Zyppaan,Pistol,,3,12:06,2,66,1
7ssk7,Jamside,Smg,,3,11:56,2,67,0
Coffeh,Magin,FallDamage,19,3,11:56,2,68,0
Seth,x2Jordan,Shotgun,,2,11:23,2,69,0
Alpha,Vivid,Smg,,2,11:19,2,70,0
Xlsma,Zeek,Rifle,,2,11:13,2,71,0
72hrs,Taiovsky,Shotgun,,2,11:05,2,72,0
Aydan,Boyer,Shotgun,,2,11:00,2,73,0
Envy,Motor,Smg,,2,10:22,2,74,1
Noward,Poach,Smg,,2,9:48,2,75,0
Pow3r,x2Jordan,Smg,,2,8:13,2,76,0
Aimhero_o,Boyer,Shotgun,,2,8:02,2,77,0
